epoch,stage,train_loss,lr,accuracy,precision,recall,specificity,f1,f1_macro,balanced_accuracy,tn,fp,fn,tp,fpr,fnr,eer,auc,pr_auc,loss
18,2,0.32565185705555066,4.9117090087048414e-05,0.6926899437687982,0.9593423019431988,0.5917388899133321,0.9388489208633094,0.7319799270072993,0.6859409288729417,0.7652939053883208,2088,136,2214,3209,0.06115107913669065,0.4082611100866679,0.184641388861988,0.9094112042101521,0.956747321497252,0.574195682382808
19,2,0.3006257516850392,4.843775433067357e-05,0.6976592127631751,0.9560246262093228,0.6013276784067859,0.9325539568345323,0.7382839031016527,0.6901945831297738,0.7669408176206591,2074,150,2162,3261,0.06744604316546762,0.3986723215932141,0.1840591283196935,0.9086809844029626,0.956312143963284,0.5613388066878269
20,2,0.28113414695319955,4.757373726360928e-05,0.7435595658428141,0.9526673640167364,0.6717683938779273,0.9186151079136691,0.7879312209365199,0.7318190915332509,0.7951917508957982,2043,181,1780,3643,0.08138489208633093,0.32823160612207264,0.17354067142745327,0.9173407263494018,0.9608422431539221,0.5148892394201622
21,2,0.2660091003320487,4.653199544324573e-05,0.7532365633581797,0.9599375650364204,0.6804351834777799,0.9307553956834532,0.7963742311427646,0.7416415705240951,0.8055952895806165,2070,154,1733,3690,0.06924460431654676,0.3195648165222202,0.16461867386046908,0.9260774950019701,0.9654985771520818,0.5086035444169196
22,2,0.25334063178632227,4.532091636218622e-05,0.7670982084477573,0.9607793522267206,0.7001659598008483,0.9303057553956835,0.8100266666666667,0.7545656225713804,0.8152358575982659,2069,155,1626,3797,0.06969424460431654,0.2998340401991518,0.154192416857589,0.9298979864605458,0.9672479421108914,0.5004157047731916
23,2,0.24531509148915162,4.3950250917088476e-05,0.7381979861383549,0.9619227653254119,0.6568320118015858,0.9366007194244604,0.7806267806267806,0.7280241555533384,0.7967163656130232,2083,141,1861,3562,0.06339928057553956,0.34316798819841415,0.1659385335176447,0.920101499475323,0.9628112678582226,0.5589237026329507
24,2,0.23907884585236597,4.2431034900178194e-05,0.8058061985092193,0.9576940957694096,0.759727088327494,0.9181654676258992,0.8473007712082262,0.7903230377858333,0.8389462779766966,2042,182,1303,4120,0.08183453237410072,0.240272911672506,0.14344913982146387,0.9380229773400531,0.9705078593333278,0.4291866419302711
25,2,0.22894696696260963,4.077550014553898e-05,0.780044461880476,0.9599213179247603,0.7198967361239167,0.9267086330935251,0.8227608008429926,0.7664803315035087,0.8233026846087209,2061,163,1519,3904,0.07329136690647482,0.28010326387608336,0.15651511613869518,0.9319716133786683,0.9681494089807356,0.47504548985392686
26,2,0.22214962027699572,3.899697604557652e-05,0.766836667974369,0.9628687690742624,0.6981375622349253,0.9343525179856115,0.8094067343666489,0.7545939211486385,0.8162450401102683,2078,146,1637,3786,0.06564748201438848,0.3018624377650747,0.15928745570757116,0.9277902820653305,0.9663428594438446,0.5099294788758396
27,2,0.21572025297478334,3.7109782230588476e-05,0.8052831175624428,0.955324074074074,0.7610178867785359,0.9132194244604317,0.8471723288514831,0.7894661860434681,0.8371186556194838,2031,193,1296,4127,0.08678057553956835,0.23898211322146412,0.14922999826213157,0.9363212177814452,0.9699450513390372,0.4350777075173996
